timestamp,i,j,duration
30100,89,242,20
30120,215,1090,20
30120,122,779,20
30120,487,491,20
30120,3,401,20
30120,242,432,20
30120,97,215,20
30120,74,122,20
30120,215,720,20
30120,215,426,20
30120,20,1414,20
30120,164,779,20
30120,3,491,20
30120,491,1260,20
30140,491,1492,20
30140,200,401,20
30140,200,1323,20
30140,487,491,20
30140,751,1090,20
30140,387,432,20
30140,720,779,20
30140,3,290,20
30140,55,1323,20
30140,487,1260,20
30140,164,432,20
30140,147,401,20
30140,117,1323,20
30160,89,649,20
30160,461,491,20
30160,401,1414,20
30160,435,859,20
30160,89,432,20
30160,164,603,20
30160,491,977,20
30160,71,401,20
30160,20,1245,20
30160,164,487,20
30160,290,1323,20
30160,290,603,20
30160,117,429,20
30180,491,603,20
30180,372,432,20
30180,164,1090,20
30180,372,977,20
30180,20,1090,20
30180,372,1492,20
30180,242,649,20
30180,859,1260,20
30180,491,720,20
30180,156,425,20
30180,122,1323,20
30180,20,74,20
30180,220,1414,20
30180,429,1090,20
30180,55,1260,20
30200,200,290,20
30200,34,677,20
30220,378,1260,20
30240,720,985,20
30240,147,387,20
30260,491,1204,20
30260,89,432,20
30260,74,242,20
30280,434,1260,20
30280,1260,1492,20
30280,441,1090,20
30300,122,426,20
30320,491,977,20
30320,387,491,20
30320,79,156,20
30320,242,1492,20
30320,77,491,20
30320,173,460,20
30340,117,200,20
30340,387,432,20
30340,79,156,20
30340,74,77,20
30340,242,435,20
30340,117,491,20
30340,74,491,20
30340,164,1414,20
30360,79,156,20
30360,74,77,20
30360,464,677,20
30360,165,447,20
30380,220,720,20
30380,79,156,20
30380,147,220,20
30400,74,1362,20
30420,242,491,20
30420,200,461,20
30420,378,461,20
30440,89,387,20
30440,441,1090,20
30460,117,147,20
30460,215,378,20
30460,117,859,20
30460,242,1245,20
30460,242,378,20
30480,387,432,20
30480,242,432,20
30480,147,441,20
30480,215,220,20
30500,117,200,20
30500,89,432,20
30500,1090,1362,20
30500,117,242,20
30520,20,441,20
30540,220,242,20
30540,77,649,20
30540,165,447,20
30540,215,720,20
30560,77,985,20
30560,71,429,20
30560,74,290,20
30560,71,290,20
30560,34,245,20
30560,491,1414,20
30560,71,859,20
30560,147,429,20
30560,117,441,20
30560,440,461,20
30560,429,859,20
30580,164,440,20
30580,122,649,20
30580,71,387,20
30580,122,1260,20
30580,164,720,20
30580,160,165,20
30580,628,763,20
30580,429,649,20
30580,147,164,20
30580,242,1260,20
30580,20,435,20
30580,435,720,20
30580,242,1204,20
30600,259,628,20
30600,447,884,20
30600,440,751,20
30600,89,1492,20
30600,117,378,20
30600,215,1492,20
30600,165,884,20
30600,434,1260,20
30620,429,432,20
30620,74,215,20
30620,432,1414,20
30620,27,628,20
30620,464,909,20
30620,378,720,20
30640,117,147,20
30640,649,720,20
30640,200,1323,20
30640,649,1362,20
30640,425,447,20
30640,20,1362,20
30660,290,574,20
30660,160,425,20
30660,97,147,20
30660,117,432,20
30660,491,859,20
30660,89,1245,20
30660,97,985,20
30660,378,432,20
30660,27,165,20
30660,290,720,20
30660,20,77,20
30680,425,447,20
30680,117,429,20
30680,290,440,20
30700,574,977,20
30700,165,447,20
30700,74,242,20
30720,491,1362,20
30720,245,653,20
30720,242,649,20
30720,147,603,20
30720,159,970,20
30720,387,977,20
30720,426,1323,20
30720,165,447,20
30720,426,649,20
30720,603,1492,20
30720,165,425,20
30720,27,165,20
30740,89,432,20
30740,89,1362,20
30740,89,429,20
30740,15,429,20
30740,290,432,20
30760,97,1492,20
30760,242,720,20
30760,97,1414,20
30760,97,441,20
30780,295,763,20
30780,429,1245,20
30780,460,909,20
30780,99,628,20
30780,220,574,20
30780,464,909,20
30780,147,429,20
30800,89,401,20
30800,200,574,20
30800,147,200,20
30800,242,487,20
30800,220,1204,20
30800,242,1090,20
30800,89,720,20
30800,200,977,20
30800,89,1090,20
30800,220,977,20
30820,71,429,20
30820,97,147,20
30820,200,242,20
30820,15,1362,20
30820,71,574,20
30820,475,677,20
30820,491,1323,20
30840,20,242,20
30840,401,432,20
30840,259,425,20
30840,200,215,20
30860,20,401,20
30860,122,426,20
30860,20,147,20
30860,74,574,20
30880,1204,1323,20
30880,89,432,20
30880,15,20,20
30880,491,720,20
30880,117,461,20
30880,242,1204,20
30880,242,1090,20
30880,117,441,20
30880,1323,1492,20
30900,122,147,20
30900,77,122,20
30900,20,1362,20
30940,20,1414,20
30940,491,1090,20
30940,89,401,20
30960,242,378,20
30960,77,1260,20
30960,242,1362,20
30960,89,432,20
30960,74,1414,20
30960,77,491,20
30960,242,1260,20
30960,74,487,20
30980,3,117,20
30980,432,1245,20
30980,461,1492,20
30980,147,441,20
30980,55,220,20
30980,27,447,20
30980,55,1245,20
30980,71,1323,20
30980,77,387,20
30980,434,1323,20
30980,461,1090,20
30980,603,779,20
30980,117,441,20
30980,77,1323,20
31000,15,117,20
31000,20,215,20
31000,432,1414,20
31000,71,649,20
31000,15,164,20
31000,603,779,20
31000,117,440,20
31020,1362,1492,20
31020,34,653,20
31020,242,487,20
31020,15,372,20
31020,55,1245,20
31020,242,1209,20
31040,378,1090,20
31040,77,985,20
31040,574,1362,20
31040,220,574,20
31040,290,491,20
31040,603,779,20
31040,3,1492,20
31040,215,574,20
31060,242,1414,20
31060,15,372,20
31060,164,487,20
31060,215,220,20
31060,215,977,20
31060,77,242,20
31060,295,425,20
31100,164,574,20
31100,20,977,20
31100,164,1492,20
31120,97,491,20
31120,20,491,20
31120,89,461,20
31120,74,441,20
31120,574,1204,20
31120,74,97,20
31120,3,122,20
31140,295,447,20
31160,55,215,20
31160,77,977,20
31160,491,985,20
31160,117,1260,20
31160,117,441,20
31160,55,117,20
31180,122,147,20
31180,440,1260,20
31180,763,884,20
31180,378,751,20
31180,751,1245,20
31180,20,387,20
31180,20,1414,20
31180,55,1260,20
31200,649,1245,20
31200,3,117,20
31200,649,1090,20
31200,3,461,20
31200,440,461,20
31200,1204,1245,20
31200,3,649,20
31200,426,649,20
31200,432,1090,20
31200,432,461,20
31200,378,720,20
31200,985,1204,20
31200,122,1323,20
31200,122,164,20
31220,378,432,20
31220,158,1090,20
31220,215,1245,20
31220,649,1090,20
31220,1204,1414,20
31220,720,751,20
31220,387,720,20
31220,426,1260,20
31220,491,1204,20
31220,158,1260,20
31220,20,77,20
31220,158,242,20
31220,20,649,20
31220,649,1260,20
31220,487,649,20
31220,77,215,20
31220,751,1204,20
31240,20,985,20
31240,378,1090,20
31240,117,429,20
31240,20,1492,20
31240,20,1204,20
31240,429,441,20
31240,89,1260,20
31240,378,751,20
31240,97,429,20
31240,74,985,20
31240,215,741,20
31240,55,741,20
31240,117,720,20
31240,440,741,20
31240,20,426,20
31240,741,1260,20
31240,220,720,20
31240,77,215,20
31260,164,440,20
31260,628,763,20
31260,461,487,20
31260,461,1260,20
31260,432,487,20
31280,160,165,20
31280,1090,1245,20
31280,162,372,20
31280,159,261,20
31280,461,1090,20
31280,89,440,20
31300,3,158,20
31300,649,1209,20
31300,164,242,20
31300,77,158,20
31300,3,1245,20
31300,429,441,20
31300,77,97,20
31300,440,1090,20
31300,441,487,20
31300,432,751,20
31300,261,491,20
31300,3,649,20
31300,3,1414,20
31300,220,487,20
31300,20,164,20
31300,158,751,20
31300,242,574,20
31300,487,574,20
31300,574,751,20
31320,77,574,20
31320,574,1209,20
31320,434,1204,20
31320,461,1090,20
31320,34,763,20
31320,215,378,20
31320,1204,1414,20
31320,77,649,20
31320,215,1414,20
31320,461,751,20
31320,220,461,20
31320,122,461,20
31320,220,487,20
31320,165,447,20
31320,432,487,20
31320,89,487,20
31320,3,487,20
31320,77,378,20
31340,628,763,20
31340,71,387,20
31340,232,272,20
31340,80,894,20
31340,74,985,20
31360,122,426,20
31380,220,432,20
31380,122,147,20
31380,20,1209,20
31380,162,372,20
31380,55,122,20
31380,215,487,20
31380,158,574,20
31380,574,1414,20
31380,220,574,20
31380,429,1204,20
31380,20,74,20
31380,432,487,20
31380,20,426,20
31380,122,487,20
31380,55,977,20
31380,3,977,20
31380,97,122,20
31400,117,649,20
31400,89,429,20
31400,3,429,20
31400,162,372,20
31400,441,1323,20
31400,432,1414,20
31400,89,985,20
31400,20,117,20
31420,215,461,20
31420,77,242,20
31420,27,165,20
31420,162,372,20
31420,80,894,20
31440,290,432,20
31440,160,165,20
31440,89,122,20
31440,160,628,20
31440,432,1414,20
31440,147,441,20
31440,165,447,20
31440,164,1260,20
31440,261,694,20
31440,160,259,20
31440,432,461,20
31460,89,977,20
31460,461,977,20
31460,162,372,20
31460,77,977,20
31460,259,653,20
31460,261,694,20
31460,122,1245,20
31480,160,884,20
31480,425,763,20
31480,261,694,20
31480,122,1260,20
31500,425,447,20
31500,261,694,20
31520,27,99,20
31520,147,461,20
31520,425,447,20
31520,3,985,20
31520,653,677,20
31520,261,694,20
31540,20,985,20
31540,628,763,20
31540,425,763,20
31540,261,694,20
31540,80,894,20
31560,89,147,20
31560,261,694,20
31560,147,1245,20
31560,432,1090,20
31580,117,441,20
31580,295,447,20
31580,27,295,20
31580,27,165,20
31580,165,447,20
31580,97,1414,20
31580,261,694,20
31580,677,970,20
31600,20,985,20
31600,77,122,20
31600,261,694,20
31600,164,461,20
31600,122,1245,20
31620,147,441,20
31620,3,89,20
31620,261,694,20
31640,74,1209,20
31640,27,62,20
31640,74,215,20
31640,20,215,20
31640,117,461,20
31640,261,694,20
31660,80,894,20
31680,440,487,20
31680,164,1245,20
31700,295,653,20
31700,429,1245,20
31700,89,432,20
31700,1090,1414,20
31700,1323,1362,20
31700,89,1414,20
31700,489,970,20
31700,1323,1492,20
31720,242,977,20
31720,147,985,20
31720,20,429,20
31740,77,977,20
31740,461,1492,20
31740,242,1492,20
31740,15,120,20
31740,261,694,20
31740,77,378,20
31760,461,977,20
31760,1204,1492,20
31760,3,147,20
31760,147,1492,20
31760,1204,1245,20
31760,220,429,20
31760,1260,1323,20
31760,3,985,20
31760,34,295,20
31760,164,432,20
31760,977,985,20
31760,432,461,20
31780,432,1245,20
31780,1245,1492,20
31780,426,1492,20
31780,432,1090,20
31780,1414,1492,20
31780,97,147,20
31780,440,1260,20
31780,461,1260,20
31780,432,461,20
31800,89,977,20
31800,429,1260,20
31800,77,977,20
31800,164,1323,20
31800,378,741,20
31800,74,1362,20
31800,429,1323,20
31800,261,694,20
31800,426,977,20
31800,165,425,20
31820,1245,1492,20
31820,628,880,20
31820,441,1260,20
31820,461,1362,20
31820,89,487,20
31820,378,461,20
31820,77,461,20
31840,487,1245,20
31840,162,372,20
31840,434,487,20
31840,432,1090,20
31840,34,295,20
31840,165,884,20
31840,1090,1323,20
31840,461,1414,20
31840,261,694,20
31840,165,295,20
31840,117,1323,20
31860,89,977,20
31860,432,1362,20
31860,461,977,20
31860,215,461,20
31860,162,372,20
31860,432,461,20
31860,432,1414,20
31860,20,429,20
31860,1209,1414,20
31860,1323,1362,20
31860,259,653,20
31860,165,447,20
31860,259,763,20
31860,97,1323,20
31860,215,985,20
31860,198,267,20
31860,165,425,20
31860,117,1245,20
31880,160,628,20
31880,198,267,20
31900,198,267,20
31900,80,894,20
31900,97,117,20
31920,378,432,20
31920,447,884,20
31920,74,378,20
31920,198,267,20
31920,97,378,20
31920,97,429,20
31920,440,1323,20
31920,97,1323,20
31920,77,97,20
31920,164,1260,20
31920,242,985,20
31920,1323,1492,20
31920,165,295,20
31920,378,461,20
31920,89,242,20
31940,3,97,20
31940,3,117,20
31940,122,429,20
31940,1204,1260,20
31940,198,267,20
31940,441,1204,20
31940,977,1209,20
31940,1245,1260,20
31940,649,779,20
31940,80,894,20
31940,3,164,20
31960,426,1090,20
31960,378,432,20
31960,74,164,20
31960,160,425,20
31960,20,429,20
31960,80,894,20
31960,117,1090,20
31960,198,267,20
31960,429,1090,20
31980,74,215,20
31980,198,267,20
31980,215,977,20
31980,426,985,20
31980,97,242,20
31980,80,894,20
31980,165,425,20
32000,378,461,20
32000,77,378,20
32000,441,1323,20
32000,147,985,20
32000,80,894,20
32000,165,425,20
32020,378,977,20
32020,74,215,20
32020,89,158,20
32020,574,1362,20
32020,165,884,20
32020,165,447,20
32020,378,461,20
32020,621,797,20
32040,20,985,20
32040,763,884,20
32040,74,215,20
32040,426,985,20
32040,165,447,20
32040,80,894,20
32060,198,267,20
32060,14,460,20
32060,34,677,20
32080,460,489,20
32080,574,985,20
32080,489,498,20
32080,425,628,20
32080,34,763,20
32080,460,909,20
32080,468,743,20
32080,27,165,20
32080,245,909,20
32100,464,880,20
32100,468,753,20
32100,372,491,20
32100,34,677,20
32100,464,653,20
32100,468,743,20
32100,242,434,20
32100,743,753,20
32100,461,1362,20
32100,425,447,20
32100,220,720,20
32100,172,184,20
32100,242,441,20
32120,372,491,20
32120,3,147,20
32120,215,426,20
32120,89,432,20
32120,172,184,20
32120,3,1090,20
32120,172,210,20
32120,158,378,20
32120,14,460,20
32120,220,720,20
32120,460,464,20
32120,74,574,20
32140,468,753,20
32140,97,429,20
32140,89,461,20
32140,653,880,20
32140,295,333,20
32140,295,884,20
32140,295,447,20
32140,77,1260,20
32140,89,741,20
32140,261,642,20
32140,441,1260,20
32140,172,210,20
32140,34,763,20
32140,20,1492,20
32140,74,378,20
32140,3,77,20
32140,97,147,20
32140,468,743,20
32140,269,706,20
32140,99,333,20
32140,653,970,20
32140,447,884,20
32140,743,753,20
32140,880,970,20
32140,741,1260,20
32140,220,720,20
32160,147,164,20
32160,215,1362,20
32160,1209,1414,20
32160,468,743,20
32160,743,753,20
32160,165,425,20
32160,468,753,20
32160,295,909,20
32160,426,1323,20
32160,158,1245,20
32160,432,461,20
32180,468,753,20
32180,261,642,20
32180,574,977,20
32180,440,1323,20
32180,426,1323,20
32180,80,894,20
32200,117,147,20
32200,20,1260,20
32200,378,432,20
32200,158,977,20
32200,89,164,20
32200,441,574,20
32200,333,763,20
32200,261,642,20
32200,460,909,20
32200,164,378,20
32200,245,880,20
32200,489,970,20
32200,259,460,20
32200,245,970,20
32200,440,1492,20
32200,34,259,20
32200,1245,1260,20
32200,333,970,20
32200,378,461,20
32220,20,158,20
32220,333,447,20
32220,215,741,20
32220,333,763,20
32220,468,753,20
32220,74,985,20
32220,158,1260,20
32220,706,921,20
32220,147,158,20
32220,215,1245,20
32220,295,425,20
32220,215,985,20
32240,468,753,20
32240,706,921,20
32240,333,763,20
32240,447,763,20
32240,20,122,20
32240,489,909,20
32240,429,1090,20
32240,333,447,20
32240,269,706,20
32240,269,921,20
32240,147,429,20
32240,261,642,20
32240,80,894,20
32260,55,440,20
32260,468,753,20
32260,164,215,20
32260,372,491,20
32260,242,432,20
32260,977,1414,20
32260,55,434,20
32260,333,447,20
32260,426,985,20
32260,460,970,20
32260,434,1323,20
32260,269,706,20
32260,215,432,20
32260,80,894,20
32260,117,242,20
32260,20,432,20
32280,34,165,20
32280,372,491,20
32280,242,432,20
32280,447,763,20
32280,461,574,20
32280,333,447,20
32280,460,970,20
32280,242,1362,20
32280,460,489,20
32280,173,425,20
32280,1245,1323,20
32280,160,970,20
32280,425,628,20
32280,14,653,20
32280,173,464,20
32280,164,1323,20
32280,464,909,20
32280,333,763,20
32280,59,211,20
32280,80,894,20
32280,426,985,20
32280,20,74,20
32280,99,464,20
32280,99,489,20
32280,14,173,20
32300,158,441,20
32300,158,440,20
32300,1362,1492,20
32300,55,164,20
32300,372,491,20
32300,425,628,20
32300,97,117,20
32300,447,763,20
32300,89,1260,20
32300,97,429,20
32300,977,1414,20
32300,333,447,20
32300,158,1492,20
32300,147,985,20
32300,426,1204,20
32300,211,753,20
32300,117,441,20
32300,653,880,20
32300,1209,1362,20
32300,20,122,20
32320,432,1260,20
32320,74,215,20
32320,440,741,20
32320,1090,1260,20
32320,72,921,20
32320,3,1260,20
32320,164,378,20
32320,3,1492,20
32320,741,1342,20
32320,261,751,20
32320,1090,1204,20
32320,215,1323,20
32320,378,1492,20
32320,3,440,20
32320,55,1260,20
32340,117,147,20
32340,34,165,20
32340,55,440,20
32340,215,1245,20
32340,372,491,20
32340,55,441,20
32340,117,741,20
32340,117,1204,20
32340,14,489,20
32340,55,74,20
32340,99,295,20
32340,14,970,20
32340,215,1323,20
32340,432,440,20
32340,653,970,20
32340,119,866,20
32360,119,866,20
32360,211,219,20
32360,242,1245,20
32360,372,491,20
32360,74,215,20
32360,425,628,20
32360,429,441,20
32360,156,333,20
32360,464,653,20
32360,89,432,20
32360,122,432,20
32360,242,432,20
32360,27,245,20
32360,261,751,20
32360,378,441,20
32360,27,653,20
32360,429,1090,20
32360,14,295,20
32380,34,165,20
32380,372,491,20
32380,574,1492,20
32380,77,1362,20
32380,1260,1323,20
32380,425,544,20
32380,215,1209,20
32380,426,1492,20
32380,20,378,20
32380,34,259,20
32380,215,574,20
32400,464,880,20
32400,259,628,20
32400,372,491,20
32400,34,489,20
32400,628,880,20
32400,211,706,20
32400,874,977,20
32400,173,489,20
32400,245,909,20
32400,159,333,20
32400,425,464,20
32400,259,909,20
32420,372,491,20
32420,27,259,20
32420,34,489,20
32420,14,909,20
32420,14,295,20
32420,460,970,20
32420,27,295,20
32420,89,429,20
32420,1260,1362,20
32420,55,1245,20
32420,1323,1342,20
32420,295,884,20
32420,985,1260,20
32420,1342,1362,20
32420,160,909,20
32420,27,628,20
32420,20,432,20
32420,20,1209,20
32420,99,628,20
32420,20,74,20
32420,434,1245,20
32420,874,977,20
32420,99,884,20
32420,20,55,20
32440,55,122,20
32440,89,1204,20
32440,574,1323,20
32440,55,441,20
32440,34,489,20
32440,89,432,20
32440,122,432,20
32440,55,1245,20
32440,874,977,20
32440,117,441,20
32440,117,1245,20
32460,3,432,20
32460,77,985,20
32460,122,215,20
32460,574,1492,20
32460,434,1342,20
32460,34,489,20
32460,3,441,20
32460,215,1362,20
32460,97,215,20
32460,27,160,20
32460,55,74,20
32460,441,985,20
32460,117,122,20
32460,874,977,20
32460,1260,1342,20
32460,164,1342,20
32480,3,158,20
32480,440,1260,20
32480,97,158,20
32480,653,909,20
32480,15,498,20
32480,74,378,20
32480,34,489,20
32480,3,441,20
32480,3,55,20
32480,80,211,20
32480,378,440,20
32480,55,164,20
32480,1323,1492,20
32480,3,1492,20
32480,242,440,20
32500,261,425,20
32500,34,489,20
32500,34,884,20
32500,74,164,20
32500,215,1323,20
32520,261,425,20
32520,34,489,20
32520,74,164,20
32520,15,498,20
32540,34,489,20
32540,89,220,20
32540,162,261,20
32540,97,429,20
32540,15,498,20
32560,97,426,20
32560,372,491,20
32560,34,489,20
32560,97,147,20
32560,20,147,20
32560,117,242,20
32560,117,1323,20
32580,215,1090,20
32580,429,441,20
32580,215,1342,20
32580,89,220,20
32580,89,720,20
32580,1342,1362,20
32580,20,1323,20
32580,220,720,20
32580,77,215,20
32580,34,489,20
32600,432,977,20
32600,603,649,20
32600,333,763,20
32600,34,489,20
32600,34,884,20
32600,99,628,20
32600,378,1323,20
32600,3,1204,20
32620,461,874,20
32620,147,164,20
32620,603,649,20
32620,164,1323,20
32620,378,1260,20
32620,34,489,20
32620,269,959,20
32620,20,741,20
32620,741,985,20
32620,378,441,20
32620,378,440,20
32620,97,242,20
32620,653,880,20
32620,117,164,20
32640,464,880,20
32640,89,220,20
32640,1204,1492,20
32640,603,649,20
32640,461,874,20
32640,295,628,20
32640,147,1342,20
32640,1090,1323,20
32660,741,1342,20
32660,461,874,20
32660,1362,1492,20
32660,164,242,20
32660,3,164,20
32660,164,215,20
32660,77,1209,20
32660,34,489,20
32660,3,441,20
32660,741,1492,20
32660,97,429,20
32660,3,1492,20
32660,147,1342,20
32660,215,1323,20
32660,1245,1260,20
32660,3,574,20
32660,574,1260,20
32680,164,1090,20
32680,147,1245,20
32680,74,215,20
32680,164,1323,20
32680,1204,1260,20
32680,34,489,20
32680,441,1245,20
32680,1323,1362,20
32680,59,894,20
32680,741,1342,20
32680,215,1492,20
32680,215,242,20
32680,147,429,20
32680,429,1090,20
32700,461,874,20
32700,97,426,20
32700,215,1245,20
32700,574,1492,20
32700,3,1245,20
32700,242,1362,20
32700,34,489,20
32700,440,1090,20
32700,378,1090,20
32700,59,894,20
32700,20,242,20
32700,378,1323,20
32700,20,429,20
32700,603,779,20
32700,117,440,20
32700,147,1204,20
32700,77,215,20
32700,1090,1260,20
32700,77,1492,20
32720,34,489,20
32720,162,261,20
32720,74,1492,20
32720,440,441,20
32720,97,117,20
32720,1260,1362,20
32720,1323,1362,20
32720,59,894,20
32720,574,1090,20
32720,440,1204,20
32720,173,653,20
32720,3,97,20
32720,74,215,20
32720,97,147,20
32720,215,1204,20
32720,215,440,20
32720,97,1260,20
32720,429,1260,20
32720,1204,1492,20
32720,147,1492,20
32720,741,1342,20
32720,603,779,20
32720,122,1245,20
32740,464,880,20
32740,3,426,20
32740,3,441,20
32740,269,959,20
32740,3,242,20
32740,74,985,20
32740,1209,1323,20
32740,603,779,20
32740,74,242,20
32760,1245,1492,20
32760,1204,1492,20
32760,3,147,20
32760,440,1204,20
32760,117,741,20
32760,429,441,20
32760,198,267,20
32760,77,1204,20
32760,242,441,20
32760,985,1090,20
32760,440,1323,20
32760,215,1090,20
32760,215,429,20
32760,20,77,20
32760,261,751,20
32760,20,426,20
32760,603,779,20
32760,215,441,20
32760,147,429,20
32760,74,97,20
32780,122,1362,20
32780,603,649,20
32780,158,1342,20
32780,429,441,20
32780,3,574,20
32780,198,267,20
32780,97,429,20
32780,74,158,20
32780,429,574,20
32780,3,1204,20
32780,429,1090,20
32780,122,574,20
32800,1204,1492,20
32800,603,649,20
32800,160,628,20
32800,147,440,20
32800,147,1260,20
32800,74,1492,20
32800,574,1090,20
32800,117,741,20
32800,215,1204,20
32800,603,779,20
32800,198,267,20
32820,378,426,20
32820,441,1323,20
32820,1204,1323,20
32820,215,1209,20
32820,215,426,20
32820,198,267,20
32820,160,1342,20
32820,603,649,20
32840,603,649,20
32840,1260,1492,20
32840,429,440,20
32840,429,441,20
32840,20,441,20
32840,34,464,20
32840,198,267,20
32840,160,1342,20
32860,160,1342,20
32860,603,649,20
32860,544,880,20
32860,441,1245,20
32860,34,464,20
32860,464,628,20
32860,147,574,20
32860,441,1204,20
32860,59,706,20
32860,97,441,20
32860,1260,1492,20
32860,198,267,20
32860,34,628,20
32880,122,1362,20
32880,3,147,20
32880,464,628,20
32880,378,441,20
32880,20,1323,20
32880,295,884,20
32880,15,425,20
32880,122,164,20
32880,3,574,20
32880,333,489,20
32880,147,574,20
32880,34,464,20
32880,164,1260,20
32880,34,628,20
32880,147,1323,20
32880,603,649,20
32880,1090,1492,20
32880,99,295,20
32880,173,884,20
32880,160,1342,20
32880,198,267,20
32880,74,97,20
32880,97,122,20
32880,173,970,20
32880,378,1492,20
32880,122,1245,20
32900,426,1245,20
32900,3,97,20
32900,79,158,20
32900,122,429,20
32900,122,1492,20
32900,3,441,20
32900,215,1362,20
32900,97,429,20
32900,295,544,20
32900,74,985,20
32900,34,574,20
32900,429,1204,20
32900,215,426,20
32900,426,985,20
32900,642,1342,20
32900,160,1342,20
32900,122,440,20
32900,156,236,20
32920,122,1492,20
32920,34,259,20
32920,160,642,20
32920,122,164,20
32920,219,706,20
32920,164,1204,20
32920,122,440,20
32920,3,77,20
32920,3,1260,20
32920,97,1362,20
32920,156,236,20
32920,3,1204,20
32920,160,1342,20
32920,642,1342,20
32920,147,1362,20
32920,122,1245,20
32940,77,1362,20
32940,122,1260,20
32940,122,164,20
32940,162,372,20
32940,34,970,20
32940,74,1362,20
32940,164,429,20
32940,20,74,20
32940,1090,1204,20
32940,77,122,20
32940,147,429,20
32940,198,267,20
32940,653,970,20
32940,219,706,20
32960,245,628,20
32960,74,1209,20
32960,1204,1323,20
32960,574,642,20
32960,245,970,20
32960,1090,1323,20
32960,20,97,20
32960,27,295,20
32960,460,884,20
32960,259,970,20
32960,14,653,20
32960,198,267,20
32960,628,880,20
32960,34,884,20
32960,74,1090,20
32960,74,985,20
32960,99,295,20
32960,1209,1323,20
32960,909,970,20
